BJD,RV,FWHM,CONTRAST,BIS,RV_err,FWHM_err,CONTRAST_err,BIS_err,SNR_0,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5,SNR_6,SNR_7,SNR_8,SNR_9,SNR_10,SNR_11,SNR_12,SNR_13,SNR_14,SNR_15,SNR_16,SNR_17,SNR_18,SNR_19,SNR_20,SNR_21,SNR_22,SNR_23,SNR_24,SNR_25,SNR_26,SNR_27,SNR_28,SNR_29,SNR_30,SNR_31,SNR_32,SNR_33,SNR_34,SNR_35,SNR_36,SNR_37,SNR_38,SNR_39,SNR_40,SNR_41,SNR_42,SNR_43,SNR_44,SNR_45,SNR_46,SNR_47,SNR_48,SNR_49,SNR_50,SNR_51,SNR_52,SNR_53,SNR_54,SNR_55,SNR_56,SNR_57,SNR_58,SNR_59,HALPHA
2458694.59295,-4.86418415,12.34720189,10.25118231,-0.25985585,0.00683914,0.07495674,0.04953651,0.01686546,1.1296,2.3923,4.1629,7.0765,11.243,16.231,19.923,21.836,25.128,26.406,29.921,33.332,37.676,39.727,34.166,40.839,45.948,51.903,55.308,52.875,52.554,60.933,69.085,74.603,80.602,82.951,83.606,79.723,81.066,77.137,90.292,97.548,96.473,91.53,105.56,122.63,129.83,133.03,95.034,125.49,128.93,126.67,128.35,114.81,117.98,122.33,122.14,123.54,122.1,119.37,104.32,93.879,87.282,46.496,42.082,33.396,7.9599,0.89438,0.72823,0.62099,2.37406
2458695.5362,-4.99813409,12.37407799,10.29864498,-0.08601992,0.01160332,0.07287771,0.04826587,0.02909491,0.6794,1.2285,2.0121,3.6608,6.2978,9.2599,11.542,12.424,14.774,15.107,17.528,19.748,22.919,23.82,19.807,23.781,27.472,31.518,33.513,31.876,31.399,36.817,41.951,44.995,48.325,49.899,50.367,47.335,48.114,45.559,53.166,56.975,56.406,51.623,59.678,72.332,76.718,78.314,56.514,73.48,75.214,73.362,74.154,64.361,65.818,69.588,69.719,70.562,69.734,67.674,57.423,50.399,45.524,16.702,17.722,15.469,3.1172,0.69523,0.6395,0.61509,2.1809
2458695.5362,-4.99813409,12.37407799,10.29864498,-0.08601992,0.01160332,0.07287771,0.04826587,0.02909491,0.71087,0.67994,0.73752,0.93486,1.4998,2.5323,3.2901,3.7255,4.7967,5.1866,6.1729,7.4387,9.1471,9.902,7.899,10.064,12.339,14.857,15.982,15.293,15.322,18.785,22.035,24.225,26.633,28.077,28.351,26.975,27.51,25.978,31.234,33.949,33.532,30.928,36.004,44.438,47.808,49.286,34.547,46.159,47.487,46.236,47.005,40.293,41.738,44.094,44.291,44.982,44.535,43.066,35.961,30.673,27.75,8.4584,9.2967,7.8253,1.4319,0.66046,0.62043,0.6861,2.17578
2458696.52084,-4.94076974,12.83871515,9.9736334,-0.26507429,0.00828181,0.10146524,0.06240379,0.0206071,0.77662,1.5805,2.4949,4.9449,8.7583,12.329,15.031,16.502,19.491,20.865,23.749,26.807,30.839,32.715,27.88,33.876,38.261,43.9,46.82,44.502,44.646,52.303,59.304,64.16,69.589,71.873,72.058,68.373,69.163,66.389,78.442,84.077,82.385,79.507,91.414,105.97,111.57,114.1,82.234,105.89,108.34,106.96,108.55,96.505,98.719,101.28,99.941,100.53,98.708,95.887,83.849,75.469,69.962,38.032,32.754,24.988,4.8945,0.67124,0.61811,0.53962,2.29903
2458696.52084,-4.94076974,12.83871515,9.9736334,-0.26507429,0.00828181,0.10146524,0.06240379,0.0206071,1.0145,1.916,2.9965,5.7151,10.19,14.222,17.288,18.774,21.817,23.401,26.561,29.958,34.314,36.03,30.92,37.295,42.119,47.865,51.008,48.433,48.606,56.532,63.995,69.189,74.921,76.994,77.112,73.13,74.075,70.529,83.758,89.445,87.249,84.219,96.561,111.39,117.5,119.97,86.174,110.79,113.54,111.65,113.12,100.54,102.76,105.32,103.53,103.86,102.12,98.947,86.591,78.108,72.299,40.003,34.442,26.157,5.2194,0.74866,0.67627,0.58126,2.29356
2458698.5165,-5.14604366,12.25789536,9.91020704,0.02141664,0.00602258,0.08753184,0.05637723,0.01517413,1.0068,1.3703,2.2144,4.3969,8.2674,12.099,15.701,17.934,21.906,24.342,28.079,32.415,38.245,40.86,36.094,44.157,50.789,58.164,62.516,61.221,61.803,72.005,81.615,88.393,95.614,98.927,100.24,95.93,97.204,93.167,108.33,116.17,114.63,108.21,122.99,143.24,150.73,153.59,111.45,142.33,144.82,140.96,141.91,123.43,125.49,129.25,127.84,126.99,123.69,118.94,101.91,89.479,81.269,38.227,35.429,28.725,6.3652,0.75829,0.68672,0.66674,2.23573
2458698.5165,-5.14604366,12.25789536,9.91020704,0.02141664,0.00602258,0.08753184,0.05637723,0.01517413,0.99365,1.4723,2.2783,4.7715,9.0266,13.033,16.753,18.971,22.9,25.506,29.173,33.933,39.735,42.636,37.524,45.713,52.322,60.127,64.49,63.063,63.444,73.906,83.754,90.342,98.027,101.27,102.57,97.96,99.351,95.063,110.57,118.09,116.66,109.53,124.11,144.79,152.49,155.42,112.52,143.52,145.61,141.73,142.24,123.47,124.81,129.01,127.63,126.62,122.89,117.93,100.84,88.244,79.987,36.418,34.267,27.787,5.9382,0.73739,0.63698,0.57679,2.25637
2458699.48199,-4.87069858,12.24543218,10.08361228,-0.29002109,0.00779308,0.08159649,0.05354125,0.01889692,0.78394,1.2165,1.9775,3.9418,6.9651,10.381,13.319,14.987,18.016,19.624,22.474,25.974,29.964,32.159,27.8,33.943,38.859,44.635,47.858,46.2,46.467,54.223,61.799,66.993,72.631,74.959,75.478,72.122,73.2,70.173,82.057,88.044,87.131,82.681,94.431,110.16,116.23,118.87,85.964,111.06,113.15,110.74,111.36,98.177,100.46,103.72,102.88,103.08,101.06,97.583,84.555,74.897,68.775,33.762,31.028,24.755,5.5431,0.74732,0.60639,0.5915,2.39727
2458699.48199,-4.87069858,12.24543218,10.08361228,-0.29002109,0.00779308,0.08159649,0.05354125,0.01889692,0.72477,1.3009,2.2039,4.2323,7.4513,10.931,13.919,15.612,18.933,20.489,23.646,27.016,31.448,33.382,29.099,35.417,40.319,46.287,49.433,47.779,47.851,56.159,63.698,69.048,74.777,77.069,77.621,74.225,75.355,72.072,84.542,90.505,89.557,84.302,97.049,112.94,118.8,121.7,88.162,113.41,115.61,113.33,114.42,100.66,102.85,106.1,104.94,104.99,102.47,99.187,86.039,76.551,70.387,35.766,32.635,25.805,5.9026,0.75615,0.62173,0.58811,2.38841
2458700.47479,-5.01274824,12.24567647,10.13752089,-0.10925181,0.00798261,0.0766943,0.05059152,0.0196617,0.68944,1.0895,1.8144,3.6898,6.6951,10.26,13.019,14.548,17.99,19.374,22.47,25.968,30.156,32.159,27.755,33.921,38.866,44.888,48.079,46.182,46.13,54.318,61.498,66.777,72.322,74.324,74.577,70.876,71.956,68.342,80.318,86.011,84.437,79.977,91.341,106.35,111.91,114.12,81.533,105.09,107.38,104.4,105.4,92.34,94.084,96.379,95.215,94.869,92.681,89.422,76.883,68.022,62.142,30.479,27.469,21.557,4.3421,0.65878,0.53863,0.51424,2.24757
